Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
5/31/15,Place in Singapore,2015-05-31T07:08:50+08:00,2015-05-31T14:52:49+08:00,27839,1.3153408592,103.8405277414,,
5/31/15,Place in Singapore,2015-05-31T15:09:05+08:00,2015-05-31T20:55:11+08:00,20766,1.3073070735,103.8292758046,,
5/31/15,Place in Singapore General Hospital,2015-05-31T21:13:52+08:00,2015-05-31T21:34:25+08:00,1233,1.2823754571,103.8355417901,,
5/31/15,Place in Singapore,2015-05-31T21:51:51+08:00,2015-05-31T21:51:52+08:00,1,1.3064702074,103.8324876992,,
02/06/15,Place in Singapore,2015-06-02T13:02:51+08:00,2015-06-02T13:31:38+08:00,1727,1.277950908,103.8484136996,,
02/06/15,Place in Robinson Green,2015-06-02T13:37:51+08:00,2015-06-02T14:53:29+08:00,4538,1.2779032672,103.84808441,,
05/06/15,Place in Robinson Green,2015-06-05T15:53:25+08:00,2015-06-05T19:04:37+08:00,11472,1.2779032672,103.84808441,,
05/06/15,Place in Red Dot Design Museum,2015-06-05T19:08:49+08:00,2015-06-05T20:25:56+08:00,4627,1.2777165773,103.8459340055,,
05/06/15,Place in Singapore,2015-06-05T20:43:13+08:00,2015-06-05T21:52:28+08:00,4155,1.2999332278,103.8537097765,,
05/06/15,Place in Singapore,2015-06-05T22:29:31+08:00,2015-06-05T22:47:09+08:00,1058,1.3341588169,103.8688492982,,
05/06/15,Place in Singapore,2015-06-05T23:09:01+08:00,2015-06-05T23:58:14+08:00,2953,1.3000664443,103.8590701354,,
06/06/15,Place in Singapore,2015-06-06T00:16:50+08:00,2015-06-06T06:23:27+08:00,21997,1.3341588169,103.8688492982,,
07/06/15,Place in Singapore,2015-06-07T04:16:24+08:00,2015-06-07T10:09:31+08:00,21187,1.3341588169,103.8688492982,,
