DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2017,10:30,,,40.77904,-73.9435,"(40.77904, -73.9435)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3695330,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/20/2017,10:31,BROOKLYN,11203,40.64981,-73.93503,"(40.64981, -73.93503)",SNYDER AVENUE                   ,EAST 45 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3696259,PASSENGER VEHICLE,,,,
06/20/2017,10:33,BROOKLYN,11231,40.67626,-74.01418,"(40.67626, -74.01418)",VAN BRUNT STREET                ,COFFEY STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3695030,PICK-UP TRUCK,PICK-UP TRUCK,,,
06/20/2017,10:40,BROOKLYN,11201,40.685448,-73.99134,"(40.685448, -73.99134)",WARREN STREET                   ,SMITH STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695035,PASSENGER VEHICLE,,,,
04/28/2017,5:30,,,,,,,,,4,0,0,0,0,0,4,0,Unspecified,,,,,3659023,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,10:40,MANHATTAN,10017,40.748825,-73.96984,"(40.748825, -73.96984)",1 AVENUE                        ,EAST 42 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3694447,PASSENGER VEHICLE,,,,
06/20/2017,10:45,BROOKLYN,11214,40.602535,-73.99321,"(40.602535, -73.99321)",85 STREET                       ,BAY PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3695315,PICK-UP TRUCK,PASSENGER VEHICLE,,,
06/20/2017,10:45,MANHATTAN,10019,40.762966,-73.973976,"(40.762966, -73.973976)",EAST 57 STREET                  ,5 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3696046,PICK-UP TRUCK,PASSENGER VEHICLE,,,
06/20/2017,10:45,,,40.625984,-74.13438,"(40.625984, -74.13438)",,,1340      FOREST AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3696033,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/20/2017,10:50,,,40.639523,-74.171265,"(40.639523, -74.171265)",,,35        HOLLAND AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3694945,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/20/2017,10:50,,,40.651863,-73.86536,"(40.651863, -73.86536)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3695015,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,10:53,MANHATTAN,10128,40.783245,-73.94473,"(40.783245, -73.94473)",1 AVENUE                        ,EAST 96 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3694533,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/20/2017,10:55,BROOKLYN,11218,40.634193,-73.96988,"(40.634193, -73.96988)",18 AVENUE                       ,EAST 8 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3696309,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,11:00,BRONX,10453,40.850494,-73.91546,"(40.850494, -73.91546)",UNIVERSITY AVENUE               ,WEST TREMONT AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3695197,TAXI,,,,
06/20/2017,11:00,BRONX,10453,40.849964,-73.91416,"(40.849964, -73.91416)",WEST TREMONT AVENUE             ,HARRISON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3695759,PASSENGER VEHICLE,,,,
06/20/2017,11:00,BRONX,10472,40.8264,-73.87581,"(40.8264, -73.87581)",WATSON AVENUE                   ,MANOR AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3695532,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,11:00,BROOKLYN,11233,40.686523,-73.91792,"(40.686523, -73.91792)",,,14        SARATOGA AVENUE               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3695431,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/20/2017,11:00,STATEN ISLAND,10305,,,,,,1409      HYLAN BOULEVARD               ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,,,3694994,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/20/2017,11:00,,,40.599037,-73.95452,"(40.599037, -73.95452)",AVENUE U                        ,,,0,0,0,0,0,0,0,0,Other Vehicular,Passing or Lane Usage Improper,,,,3695788,,,,,
06/20/2017,11:00,,,40.827183,-73.853096,"(40.827183, -73.853096)",OLMSTEAD AVENUE                 ,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3694515,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,11:00,,,40.73807,-73.93756,"(40.73807, -73.93756)",,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3694967,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/20/2017,11:00,,,40.77161,-73.87135,"(40.77161, -73.87135)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3694539,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/20/2017,11:00,,,40.804993,-73.911354,"(40.804993, -73.911354)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3695399,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,11:00,,,40.864227,-73.89578,"(40.864227, -73.89578)",GRAND CONCOURSE                 ,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,,,3695846,PASSENGER VEHICLE,PASSENGER VEHICLE,TAXI,,
06/20/2017,11:10,MANHATTAN,10010,40.73855,-73.982506,"(40.73855, -73.982506)",,,220       EAST 23 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3695317,TAXI,BICYCLE,,,
06/20/2017,11:10,,,40.67509,-73.89187,"(40.67509, -73.89187)",MILLER AVENUE                   ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3695016,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,11:13,MANHATTAN,10128,40.78017,-73.9551,"(40.78017, -73.9551)",EAST 87 STREET                  ,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3695244,SPORT UTILITY / STATION WAGON,TAXI,,,
06/20/2017,11:15,BROOKLYN,11235,40.587387,-73.95331,"(40.587387, -73.95331)",,,2688      EAST 16 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3695789,PASSENGER VEHICLE,,,,
06/20/2017,11:16,,,40.774292,-73.95127,"(40.774292, -73.95127)",1 AVENUE                        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3694532,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2017,12:00,,,40.758266,-73.83899,"(40.758266, -73.83899)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3687726,PASSENGER VEHICLE,,,,
06/20/2017,11:20,BRONX,10471,40.908436,-73.90368,"(40.908436, -73.90368)",RIVERDALE AVENUE                ,WEST 260 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3695507,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,11:20,QUEENS,11375,40.71614,-73.83357,"(40.71614, -73.83357)",QUEENS BOULEVARD                ,77 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3695400,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/20/2017,11:20,BRONX,10459,40.820007,-73.89493,"(40.820007, -73.89493)",BECK STREET                     ,TIFFANY STREET,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3695461,PASSENGER VEHICLE,,,,
06/20/2017,11:20,,,40.78838,-73.94701,"(40.78838, -73.94701)",3 AVENUE                        ,,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3696341,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,11:23,BROOKLYN,11201,40.695015,-73.98876,"(40.695015, -73.98876)",ADAMS STREET                    ,JOHNSON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695450,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,11:29,BRONX,10458,40.85569,-73.881035,"(40.85569, -73.881035)",,,2475      SOUTHERN BOULEVARD            ,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,,,,3695567,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,11:30,BROOKLYN,11233,40.68237,-73.931946,"(40.68237, -73.931946)",STUYVESANT AVENUE               ,MACDONOUGH STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3695430,PASSENGER VEHICLE,,,,
06/20/2017,11:30,MANHATTAN,10002,40.716553,-73.993095,"(40.716553, -73.993095)",,,100       HESTER STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3695200,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,11:30,,,,,,SHORE PARKWAY                   ,BAY PARKWAY,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3695316,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,11:31,BROOKLYN,11203,40.65794,-73.945145,"(40.65794, -73.945145)",,,655       BROOKLYN AVENUE               ,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3694941,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,11:35,,,40.781677,-73.83871,"(40.781677, -73.83871)",130 STREET                      ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3694518,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/20/2017,11:35,,,40.814075,-73.79548,"(40.814075, -73.79548)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3695934,,,,,
06/20/2017,11:36,MANHATTAN,10032,40.838474,-73.94375,"(40.838474, -73.94375)",WEST 163 STREET                 ,FORT WASHINGTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3696724,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/20/2017,11:40,BROOKLYN,11212,40.656956,-73.9104,"(40.656956, -73.9104)",,,951       BOYLAND STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3695990,PASSENGER VEHICLE,,,,
06/20/2017,11:40,STATEN ISLAND,10312,40.549286,-74.17194,"(40.549286, -74.17194)",POMPEY AVENUE                   ,LAREDO AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3695783,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,11:45,,,40.717922,-73.9931,"(40.717922, -73.9931)",GRAND STREET                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695382,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,11:45,,,40.807095,-73.945984,"(40.807095, -73.945984)",WEST 124 STREET                 ,,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3695402,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,11:55,,,40.75086,-73.81507,"(40.75086, -73.81507)",LABURNUM AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3695222,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/20/2017,11:59,QUEENS,11418,40.694935,-73.83421,"(40.694935, -73.83421)",113 STREET                      ,91 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695363,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,12:00,BRONX,10454,40.804256,-73.9193,"(40.804256, -73.9193)",EAST 134 STREET                 ,SAINT ANNS AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3695517,PASSENGER VEHICLE,,,,
06/20/2017,12:00,BRONX,10470,40.904087,-73.84987,"(40.904087, -73.84987)",WHITE PLAINS ROAD               ,SAINT OUEN STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,,,3695939,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
